actor,actorLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q101888,Q101888,"ταινία, θέατρο, υποκριτική",Κολωνία,1979-02-03T00:00:00Z,,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q392,Μπομπ Ντίλαν,"τζαζ, ροκ, μπλουζ, άσμα, παραδοσιακή μουσική, ποπ μουσική, Γκόσπελ, κάντρι μουσική",Ντουλούθ,1941-05-24T00:00:00Z,,Αμερικάνος τραγουδιστής
http://www.wikidata.org/entity/Q563,Μπριγκίτ Φονταίν,ποίηση,Μορλαί,1939-06-24T00:00:00Z,,
http://www.wikidata.org/entity/Q1785,Σαρλ Αζναβούρ,"ποίηση, άσμα, Σανσόν",6ο δημοτικό διαμέρισμα του Παρισιού,1924-05-22T00:00:00Z,2018-10-01T00:00:00Z,
http://www.wikidata.org/entity/Q2709,Σάσα Γκρέυ,"μουσική, ταινία, ερωτική λογοτεχνία",Νορθ Χάιλαντς,1988-03-14T00:00:00Z,,
http://www.wikidata.org/entity/Q4270,Q4270,"μουσική, ταινία, άσμα, υποκριτική",Πόγουεϊ,1975-12-13T00:00:00Z,,
http://www.wikidata.org/entity/Q4349,Τζίμι Μπένετ,μουσική,Q593039,1996-02-09T00:00:00Z,,Αμερικανός ηθοποιός και μουσικός
http://www.wikidata.org/entity/Q4473,Jennette McCurdy,"τηλεόραση, ταινία, ποπ μουσική, δημοφιλής μουσική, σύνθεση, διαδικτυακή ραδιοφωνική μετάδοση",Λος Άντζελες,1992-06-26T00:00:00Z,,Αμερικανίδα συγγραφέας και πρώην ηθοποιός
http://www.wikidata.org/entity/Q4488,Κλάνσι Μπράουν,"τηλεόραση, ταινία",Q1762816,1959-01-05T00:00:00Z,,
http://www.wikidata.org/entity/Q4636,Μπάρμπρα Στρέιζαντ,"μουσική, τζαζ, ταινία, σύνθεση",Μπρούκλιν,1942-04-24T00:00:00Z,,Αμερικανίδα τραγουδίστρια και ηθοποιός
http://www.wikidata.org/entity/Q5383,Ντέιβιντ Μπόουι,"μουσική, εικαστικές τέχνες, υποκριτική",Μπρίξτον,1947-01-08T00:00:00Z,2016-01-10T00:00:00Z,"Βρετανός μουσικός, ηθοποιός και παραγωγός μουσικής"
http://www.wikidata.org/entity/Q7542,Prince,μουσική,Μινεάπολις,1958-06-07T00:00:00Z,2016-04-21T00:00:00Z,Αμερικάνος μουσικός
http://www.wikidata.org/entity/Q7833,Μπορίς Βιάν,"μουσική, πεζός λόγος, μετάφραση, δημοσιογραφία, ζωγραφική, δράμα, τέχνες του θεάματος, λογοτεχνική ανάλυση, υποκριτική",Βιλ-ντ'Αβραί,1920-03-10T00:00:00Z,1959-06-23T00:00:00Z,
