author,authorLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q67449,Q67449,"ψυχιατρική, ψυχανάλυση, νευρολογία",Μόναχο,1908-09-20T00:00:00Z,1982-06-26T00:00:00Z,
http://www.wikidata.org/entity/Q68121,Καρλ Χάινριχ Μπέκερ,"Ισλάμ, φιλοσοφία",Άμστερνταμ,1876-04-12T00:00:00Z,1933-02-10T00:00:00Z,Γερμανός οριενταλιστής και πολιτικός
http://www.wikidata.org/entity/Q69936,Q69936,σκάκι,Αμβούργο,1970-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q69936,Q69936,σκάκι,Αμβούργο,1970-11-23T00:00:00Z,,
http://www.wikidata.org/entity/Q70767,Ερνστ Νίκις,"πολιτική, λογοτεχνία, εκδοτικός οίκος",Τσεμπνίτσα,1889-05-23T00:00:00Z,1967-05-23T00:00:00Z,
http://www.wikidata.org/entity/Q74890,Q74890,ιστορία,Βάουτς,1861-12-01T00:00:00Z,1928-12-27T00:00:00Z,
http://www.wikidata.org/entity/Q76032,Q76032,ιστορία,Κούνιχσμπεργκ,1858-01-19T00:00:00Z,1927-10-20T00:00:00Z,
http://www.wikidata.org/entity/Q77029,Βίλχελμ Φέρστερ,"αστρονομία, φυσική, μαθηματικά",Ζιελόνα Γκούρα,1832-12-16T00:00:00Z,1921-01-18T00:00:00Z,Γερμανός αστρονόμος
http://www.wikidata.org/entity/Q77082,Ρίχαρντ φον Κραφτ-Εμπίνγκ,"ψυχιατρική, Σεξολογία, νευρολογία",Μάνχαϊμ,1840-08-14T00:00:00Z,1902-12-22T00:00:00Z,
http://www.wikidata.org/entity/Q78586,Q78586,όπερα,Σούμπερκ,1873-08-18T00:00:00Z,1946-06-01T00:00:00Z,
http://www.wikidata.org/entity/Q80440,Άννα Αχμάτοβα,ποίηση,Οδησσός,1889-06-23T00:00:00Z,1966-03-05T00:00:00Z,
http://www.wikidata.org/entity/Q86769,Q86769,"αστρονομία, ιατρική, Μεταλλευτική, αστρολογία, αλχημεία, Μυστικισμός",Βασιλεία,1531-08-01T00:00:00Z,1590-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q86769,Q86769,"αστρονομία, ιατρική, Μεταλλευτική, αστρολογία, αλχημεία, Μυστικισμός",Βασιλεία,1531-08-01T00:00:00Z,1596-07-09T00:00:00Z,
http://www.wikidata.org/entity/Q100948,Ρέιτσελ Κάρσον,"βιολογία, θαλάσσια βιολογία, δοκίμιο",Q7279187,1907-05-27T00:00:00Z,1964-04-14T00:00:00Z,
http://www.wikidata.org/entity/Q101922,Q101922,ιστορία,Q990196,1867-04-09T00:00:00Z,1925-03-15T00:00:00Z,
http://www.wikidata.org/entity/Q106275,Ζιλιέτ Μπινός,ποίηση,12ο δημοτικό διαμέρισμα του Παρισιού,1964-03-09T00:00:00Z,,Γαλλίδα ηθοποιός
http://www.wikidata.org/entity/Q111341,Q111341,"ιστορία, πολιτική, κλασική φιλολογία, ιστορία του πολιτισμού",Q83199,1848-03-01T00:00:00Z,1934-03-08T00:00:00Z,
http://www.wikidata.org/entity/Q128487,Q128487,"ποίηση, κουλτούρα",Βελέστοβο,1959-03-18T00:00:00Z,,
http://www.wikidata.org/entity/Q188385,Γερτρούδη Στάιν,ποίηση,Αλεγκέινι,1874-02-03T00:00:00Z,1946-07-27T00:00:00Z,"Αμερικανίδα συγγραφέας, ποιήτρια, θεατρική συγγραφέας και συλλέκτρια έργων τέχνης"
http://www.wikidata.org/entity/Q189597,Φίλων ο Αλεξανδρεύς,φιλοσοφία,Αλεξάνδρεια,-0014-01-01T00:00:00Z,0050-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q190379,Ίαν ΜακΓιούαν,"πεζός λόγος, δράμα",Όλντερσοτ,1948-06-21T00:00:00Z,,
http://www.wikidata.org/entity/Q191917,Φραντς Λέχαρ,"μουσική, θέατρο",Κομάρομ,1870-04-30T00:00:00Z,1948-10-24T00:00:00Z,Αυστριακός συνθέτης
