musician,musicianLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q85958,Q85958,μουσική,Q698591,1804-03-30T00:00:00Z,1890-01-17T00:00:00Z,
http://www.wikidata.org/entity/Q86229,Μίλκα Χάρτμαν,"ποίηση, μουσική",Λόιμπαχ,1902-02-11T00:00:00Z,1997-06-09T00:00:00Z,Σλοβένα ποιήτρια
http://www.wikidata.org/entity/Q86777,Q86777,"μουσική, άσμα, σύνθεση, στίχος",Q782147,1941-09-19T00:00:00Z,2023-09-22T00:00:00Z,
http://www.wikidata.org/entity/Q87612,Q87612,μουσική,Q762492,1907-01-25T00:00:00Z,1992-10-03T00:00:00Z,
http://www.wikidata.org/entity/Q89000,Q89000,"μουσική, άσμα, υποκριτική",Σάλτσμπουργκ,1960-09-10T00:00:00Z,,
http://www.wikidata.org/entity/Q89496,Q89496,"μουσική, άσμα, Μεταγλώττιση, υποκριτική",Βάουμπζιχ,1943-10-27T00:00:00Z,,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q90362,Q90362,"μουσική, διεύθυνση ορχήστρας",Q659918,1974-09-08T00:00:00Z,,
http://www.wikidata.org/entity/Q90502,Q90502,μουσική,Γκρατς,1928-11-27T00:00:00Z,1991-02-09T00:00:00Z,
http://www.wikidata.org/entity/Q90878,Q90878,"μουσική, λογοτεχνία, θέατρο",Άγκυρα,1955-06-12T00:00:00Z,,
http://www.wikidata.org/entity/Q90941,Q90941,"μουσική, διεύθυνση ορχήστρας",Χάμελιν,1973-09-28T00:00:00Z,,
http://www.wikidata.org/entity/Q92511,Q92511,"μουσική, άσμα, Καμπαρέ, υποκριτική",Q520369,1949-07-19T00:00:00Z,,
http://www.wikidata.org/entity/Q93444,Q93444,"μουσική, λογοτεχνία, δημοσιογραφία",Βιέννη,1888-01-24T00:00:00Z,1960-08-29T00:00:00Z,
http://www.wikidata.org/entity/Q93692,Q93692,ποίηση,Παρίσι,1648-10-03T00:00:00Z,1711-09-03T00:00:00Z,
http://www.wikidata.org/entity/Q94123,Τζακ Λέμον,"μουσική, υποκριτική",Νιούτον,1925-02-08T00:00:00Z,2001-06-27T00:00:00Z,Αμερικανός ηθοποιός
