politician,politicianLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q567,Άνγκελα Μέρκελ,"φυσική, αναλυτική χημεία, πολιτική, θεωρητική χημεία",Q1611,1954-07-17T00:00:00Z,,πρώην Καγκελάριος Ομοσπονδιακής Δημοκρατίας της Γερμανίας (2005-2021)
http://www.wikidata.org/entity/Q651,Q651,φιλοσοφία,Λούντβιγκσμπουργκ,1807-06-30T00:00:00Z,1887-09-14T00:00:00Z,
http://www.wikidata.org/entity/Q939,Πέτρος Α΄ της Βραζιλίας,"μουσική, συνθέτης",Κελούζ,1798-10-12T00:00:00Z,1834-09-24T00:00:00Z,Αυτοκράτορας της Βραζιλίας
http://www.wikidata.org/entity/Q939,Πέτρος Α΄ της Βραζιλίας,"μουσική, συνθέτης",Ανάκτορο του Κελούζ,1798-10-12T00:00:00Z,1834-09-24T00:00:00Z,Αυτοκράτορας της Βραζιλίας
http://www.wikidata.org/entity/Q989,Πάπας Ιωάννης Παύλος Β΄,"ποίηση, δράμα",Βαντοβίτσε,1920-05-18T00:00:00Z,2005-04-02T00:00:00Z,264ος Πάπας της Καθολικής Εκκλησίας
http://www.wikidata.org/entity/Q1001,Μαχάτμα Γκάντι,"φιλοσοφία, Πασιφισμός, νομική",Πορμπαντάρ,1869-10-02T00:00:00Z,1948-01-30T00:00:00Z,Ινδός πολιτικός και θρησκευτικός ηγέτης
http://www.wikidata.org/entity/Q1058,Ναρέντρα Μόντι,"φιλοσοφία, πολιτική, κοινωνική αλλαγή",Q2570726,1950-09-17T00:00:00Z,,
http://www.wikidata.org/entity/Q1067,Δάντης Αλιγκιέρι,"ποίηση, γλωσσολογία, λογοτεχνία, πολιτική φιλοσοφία",Φλωρεντία,1265-01-01T00:00:00Z,1321-09-22T00:00:00Z,"Ιταλός ποιητής, συγγραφέας και φιλόσοφος"
http://www.wikidata.org/entity/Q1064,Αλεσσάντρο Μαντσόνι,"ποίηση, δράμα",Μιλάνο,1785-03-07T00:00:00Z,1873-05-22T00:00:00Z,
http://www.wikidata.org/entity/Q1254,Κόφι Ανάν,"διπλωματία, πολιτική, οικονομικά",Κουμάσι,1938-04-08T00:00:00Z,2018-08-18T00:00:00Z,
http://www.wikidata.org/entity/Q1259,Χαβιέρ Πέρες ντε Κουέγιαρ,"διπλωματία, Διεθνές Δίκαιο",Λίμα,1920-01-19T00:00:00Z,2020-03-04T00:00:00Z,
http://www.wikidata.org/entity/Q1267,Νταγκ Χάμαρχολντ,"διπλωματία, πολιτική, κίνημα της ειρήνης",Γιένσεπινγκ,1905-07-29T00:00:00Z,1961-09-18T00:00:00Z,"Σουηδός διπλωμάτης, οικονομολόγος, και συγγραφέας"
http://www.wikidata.org/entity/Q1399,Νικολό Μακιαβέλι,φιλοσοφία,Φλωρεντία,1469-05-12T00:00:00Z,1527-07-01T00:00:00Z,Πολτικός στοχαστής και φιλόσοφος της Αναγέννησης
http://www.wikidata.org/entity/Q1430,Μάρκος Αυρήλιος,φιλοσοφία,Ρώμη,0121-04-25T00:00:00Z,0180-03-16T00:00:00Z,Ρωμαίος αυτοκράτορας
http://www.wikidata.org/entity/Q1541,Μάρκος Τύλλιος Κικέρων,"φιλοσοφία, λογοτεχνία, Ρητορική",Αρπίνο,-0106-12-31T00:00:00Z,-0042-12-05T00:00:00Z,"Ρωμαίος φιλόσοφος, πολιτικός, δικηγόρος, ρήτορας, ύπατος και συνταγματολόγος"
http://www.wikidata.org/entity/Q2038,Φρανσουά Μιτεράν,πολιτική,Ζαρνάκ,1916-10-26T00:00:00Z,1996-01-08T00:00:00Z,21ος Πρόεδρος της Γαλλικής Δημοκρατίας
http://www.wikidata.org/entity/Q2042,Σαρλ ντε Γκολ,πολιτική,Λιλ,1890-11-22T00:00:00Z,1970-11-09T00:00:00Z,Γάλλος στρατιωτικός και πολιτικός
http://www.wikidata.org/entity/Q2105,Ζακ Σιράκ,πολιτική,Παρίσι,1932-11-29T00:00:00Z,2019-09-26T00:00:00Z,Άρθρο των Βικινέων
http://www.wikidata.org/entity/Q2105,Ζακ Σιράκ,πολιτική,5ο δημοτικό διαμέρισμα του Παρισιού,1932-11-29T00:00:00Z,2019-09-26T00:00:00Z,Άρθρο των Βικινέων
http://www.wikidata.org/entity/Q2185,Ζωρζ Πομπιντού,πολιτική,Q270347,1911-07-05T00:00:00Z,1974-04-02T00:00:00Z,
