scientist,scientistLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q563553,Πιερ Σαρλ Λεμονιέ,"φυσική, αστρονομία",Παρίσι,1715-11-20T00:00:00Z,1799-04-03T00:00:00Z,Γάλλος αστρονόμος
http://www.wikidata.org/entity/Q268702,Μαίρη Σόμερβιλ,"εκλαϊκευμένη επιστήμη, μαθηματικά",Q1012401,1780-12-26T00:00:00Z,1872-11-28T00:00:00Z,Βρετανός επιστημονικός συγγραφέας και πολυμαθής
http://www.wikidata.org/entity/Q289217,Ετιέν-Ζυλ Μαρέ,"φωτογραφία, ιατρική, φυσιολογία",Μπων,1830-03-05T00:00:00Z,1904-05-15T00:00:00Z,"Γάλλος γιατρός, εφευρέτης της χρονοφωτογραφίας"
http://www.wikidata.org/entity/Q77051,Φρήντριχ Τίτγεν,"μαθηματικά, αστρονομία",Q15056265,1832-10-15T00:00:00Z,1895-06-21T00:00:00Z,Γερμανός αστρονόμος
http://www.wikidata.org/entity/Q706703,Άρτεμις Αλεξιάδου,"Ψηφιακές Ανθρωπιστικές Επιστήμες, αγγλική φιλολογία, γλωσσολογία",Βόλος,1969-02-13T00:00:00Z,,Ελληνίδα γλωσσολόγος και πανεπιστημιακός
http://www.wikidata.org/entity/Q318126,Ερνστ Έπικ,"αστέρας, Μικρός πλανήτης, αστροφυσική, Μετέωρο, κομήτης, αστρονομία",Ηνωμένες Πολιτείες Αμερικής,1893-10-22T00:00:00Z,1985-09-10T00:00:00Z,Εσθονός αστρονόμος
http://www.wikidata.org/entity/Q318126,Ερνστ Έπικ,"Μικρός πλανήτης, αστροφυσική, Μετέωρο, αστέρας, κομήτης, αστρονομία",Κούντα,1893-10-22T00:00:00Z,1985-09-10T00:00:00Z,Εσθονός αστρονόμος
http://www.wikidata.org/entity/Q310767,Λαζάρ Καρνό,"επιστήμη πολιτικού μηχανικού, οχύρωση, πολιτική, ποίηση, φυσική, μαθηματικά",Νολαί,1753-05-13T00:00:00Z,1823-08-02T00:00:00Z,Γάλλος πολιτικός και στρατιωτικός
http://www.wikidata.org/entity/Q311187,Φραντσέσκο Ρέντι,βιολογία,Αρέτσο,1626-02-18T00:00:00Z,1697-03-01T00:00:00Z,"Ιταλός γιατρός, γνωστός για τα πειράματά του για την κατάρριψη της αυτόματης γένεσης"
http://www.wikidata.org/entity/Q584990,Λουί ντε Ζωκούρ,"Έρευνα και Ανάπτυξη, εγκυκλοπαίδεια",Παρίσι,1704-09-16T00:00:00Z,1779-02-03T00:00:00Z,Λόγιος και συντάκτης της Εγκυκλοπαίδειας (1704-1779)
http://www.wikidata.org/entity/Q588259,Χανς Ρόσλινγκ,"Οπτικοποίηση δεδομένων, δημόσια υγεία, στατιστική, υγεία, γεωργία, ιατρική, φτώχεια",Q10710237,1948-07-27T00:00:00Z,2017-02-07T00:00:00Z,Σουηδός ιατρός και πανεπιστημιακός
http://www.wikidata.org/entity/Q715790,Γιάκουμπ Κάρολ Πάρνας,βιοχημεία,Q6895499,1884-01-16T00:00:00Z,1949-01-29T00:00:00Z,Πολωνός βιοχημικός
http://www.wikidata.org/entity/Q715790,Γιάκουμπ Κάρολ Πάρνας,βιοχημεία,Τερνόπιλ,1884-01-16T00:00:00Z,1949-01-29T00:00:00Z,Πολωνός βιοχημικός
http://www.wikidata.org/entity/Q350468,Γιόζεφ Άλλεν Χάινεκ,"ΑΤΙΑ, αστρονομία",Σικάγο,1910-05-01T00:00:00Z,1986-04-27T00:00:00Z,Αμερικανός αστρονόμος
http://www.wikidata.org/entity/Q108602,Σουσούμου Τονεγκάουα,"νευροεπιστήμη, ανοσολογία, μοριακή βιολογία",Ναγκόγια,1939-09-06T00:00:00Z,,Ιάπωνας βιολόγος
http://www.wikidata.org/entity/Q436039,Τόμας Άντισον,ενδοκρινολογία,Q3836649,1793-04-02T00:00:00Z,1860-06-29T00:00:00Z,Άγγλος γιατρός και επιστήμονας του 19ου αιώνα
http://www.wikidata.org/entity/Q437675,Τζέιν Έλεν Χάρισον,"κλασικισμός, κλασική φιλολογία, δοκίμιο, μυθολογία, γλωσσολογία",Κόττινχαμ,1850-09-09T00:00:00Z,1928-04-15T00:00:00Z,"Βρετανίδα μελετήτρια του αρχαιοελληνικού πολιτισμού, γλωσσολόγος και φεμινίστρια"
http://www.wikidata.org/entity/Q379219,Πιερ Βαρινιόν,"Καθολική θεολογία, όργανο πίεσης, Στατική, μηχανική, κινηματική, Μαθηματική ανάλυση, φυσική, μαθηματικά",Καέν,1654-01-01T00:00:00Z,1722-12-23T00:00:00Z,Γάλλος μαθηματικός
http://www.wikidata.org/entity/Q381039,Τζον Ουίλκινς,"λεξικογραφία, Φιλοσοφία της επιστήμης, θεολογία, κρυπτογραφία, μαθηματικά, αστρονομία",Q2519886,1614-02-14T00:00:00Z,1672-11-19T00:00:00Z,Γραμματέας της Βασιλικής Εταιρείας και Επίσκοπος του Τσέστερ
